plot_component,source,material,model,feature_strategy,feature_strategy_short,scenario_group_type,scenario_group,selected_feature,case_name,mae_test_median,mae_test_std
violin_raw_points,single,20Ah LFP,linear,Single feature,Single,,fai_irrev_2C,fai_irrev_2C,single__fai_irrev_2C,0.01571554,0.002416213
violin_raw_points,single,20Ah LFP,linear,Single feature,Single,,fai_irrev_0.5C,fai_irrev_0.5C,single__fai_irrev_0.5C,0.013760528,0.002040034
violin_raw_points,single,20Ah LFP,linear,Single feature,Single,,fai_irrev_1.5C,fai_irrev_1.5C,single__fai_irrev_1.5C,0.014339989,0.002169505
violin_raw_points,single,20Ah LFP,linear,Single feature,Single,,fai_irrev_2.5C,fai_irrev_2.5C,single__fai_irrev_2.5C,0.016643975,0.00228508
violin_raw_points,single,20Ah LFP,linear,Single feature,Single,,fai_irrev_1.5C,fai_irrev_1.5C,single__fai_irrev_1.5C,0.01860871,0.002424219
violin_raw_points,single,20Ah LFP,linear,Single feature,Single,,fai_irrev_0.5C,fai_irrev_0.5C,single__fai_irrev_0.5C,0.015420831,0.002364426
violin_raw_points,single,20Ah LFP,linear,Single feature,Single,,fai_irrev_1.5C,fai_irrev_1.5C,single__fai_irrev_1.5C,0.021675971,0.002874105
violin_raw_points,single,20Ah LFP,linear,Single feature,Single,,fai_irrev_1.5C,fai_irrev_1.5C,single__fai_irrev_1.5C,0.003161321,0.00177399
violin_raw_points,single,20Ah LFP,linear,Single feature,Single,,fai_irrev_2.5C,fai_irrev_2.5C,single__fai_irrev_2.5C,0.023560956,0.002932821
violin_raw_points,single,20Ah LFP,linear,Single feature,Single,,fai_irrev_0.5C,fai_irrev_0.5C,single__fai_irrev_0.5C,0.016600414,0.002384327
violin_raw_points,single,20Ah LFP,linear,Single feature,Single,,fai_irrev_1C,fai_irrev_1C,single__fai_irrev_1C,0.015143138,0.002038447
violin_raw_points,single,20Ah LFP,linear,Single feature,Single,,fai_irrev_2.5C,fai_irrev_2.5C,single__fai_irrev_2.5C,0.014278911,0.002585309
violin_raw_points,single,20Ah LFP,linear,Single feature,Single,,fai_irrev_2C,fai_irrev_2C,single__fai_irrev_2C,0.019978661,0.002913308
violin_raw_points,single,20Ah LFP,linear,Single feature,Single,,fai_irrev_1C,fai_irrev_1C,single__fai_irrev_1C,0.015201444,0.00199309
violin_raw_points,single,20Ah LFP,linear,Single feature,Single,,fai_irrev_2C,fai_irrev_2C,single__fai_irrev_2C,0.003658136,0.001577666
violin_raw_points,single,20Ah LFP,linear,Single feature,Single,,fai_irrev_2C,fai_irrev_2C,single__fai_irrev_2C,0.014744647,0.001850342
violin_raw_points,single,20Ah LFP,linear,Single feature,Single,,fai_irrev_1C,fai_irrev_1C,single__fai_irrev_1C,0.017634374,0.002519855
violin_raw_points,single,20Ah LFP,linear,Single feature,Single,,fai_irrev_0.5C,fai_irrev_0.5C,single__fai_irrev_0.5C,0.015451126,0.002135202
violin_raw_points,single,20Ah LFP,linear,Single feature,Single,,fai_irrev_2C,fai_irrev_2C,single__fai_irrev_2C,0.015619863,0.002023106
violin_raw_points,single,20Ah LFP,linear,Single feature,Single,,fai_irrev_2C,fai_irrev_2C,single__fai_irrev_2C,0.021665248,0.00321092
violin_raw_points,single,20Ah LFP,linear,Single feature,Single,,fai_irrev_0.5C,fai_irrev_0.5C,single__fai_irrev_0.5C,0.018502235,0.002669647
violin_raw_points,single,20Ah LFP,linear,Single feature,Single,,fai_irrev_1C,fai_irrev_1C,single__fai_irrev_1C,0.021238557,0.00290654
violin_raw_points,single,20Ah LFP,linear,Single feature,Single,,fai_irrev_0.5C,fai_irrev_0.5C,single__fai_irrev_0.5C,0.010650754,0.001972709
violin_raw_points,single,20Ah LFP,linear,Single feature,Single,,fai_irrev_2.5C,fai_irrev_2.5C,single__fai_irrev_2.5C,0.00332479,0.001732445
violin_raw_points,single,20Ah LFP,linear,Single feature,Single,,fai_irrev_1.5C,fai_irrev_1.5C,single__fai_irrev_1.5C,0.014013076,0.002233239
violin_raw_points,single,20Ah LFP,linear,Single feature,Single,,fai_irrev_2.5C,fai_irrev_2.5C,single__fai_irrev_2.5C,0.019079025,0.00227822
violin_raw_points,single,20Ah LFP,linear,Single feature,Single,,fai_irrev_1.5C,fai_irrev_1.5C,single__fai_irrev_1.5C,0.015466478,0.002306004
violin_raw_points,single,20Ah LFP,linear,Single feature,Single,,fai_irrev_2.5C,fai_irrev_2.5C,single__fai_irrev_2.5C,0.014579937,0.002248817
violin_raw_points,single,20Ah LFP,linear,Single feature,Single,,fai_irrev_0.5C,fai_irrev_0.5C,single__fai_irrev_0.5C,0.018990957,0.002705775
violin_raw_points,single,20Ah LFP,linear,Single feature,Single,,fai_irrev_1.5C,fai_irrev_1.5C,single__fai_irrev_1.5C,0.018344203,0.002806482
violin_raw_points,single,20Ah LFP,linear,Single feature,Single,,fai_irrev_1C,fai_irrev_1C,single__fai_irrev_1C,0.011172884,0.002024717
violin_raw_points,single,20Ah LFP,linear,Single feature,Single,,fai_irrev_1C,fai_irrev_1C,single__fai_irrev_1C,0.016512577,0.002378699
violin_raw_points,single,20Ah LFP,linear,Single feature,Single,,fai_irrev_2.5C,fai_irrev_2.5C,single__fai_irrev_2.5C,0.015453133,0.00192528
violin_raw_points,single,20Ah LFP,linear,Single feature,Single,,fai_irrev_1C,fai_irrev_1C,single__fai_irrev_1C,0.020657724,0.002831442
violin_raw_points,single,20Ah LFP,linear,Single feature,Single,,fai_irrev_2.5C,fai_irrev_2.5C,single__fai_irrev_2.5C,0.020077993,0.002842093
violin_raw_points,single,20Ah LFP,linear,Single feature,Single,,fai_irrev_1.5C,fai_irrev_1.5C,single__fai_irrev_1.5C,0.02046999,0.0026291
violin_raw_points,single,20Ah LFP,linear,Single feature,Single,,fai_irrev_2C,fai_irrev_2C,single__fai_irrev_2C,0.015588781,0.002264584
violin_raw_points,single,20Ah LFP,linear,Single feature,Single,,fai_irrev_0.5C,fai_irrev_0.5C,single__fai_irrev_0.5C,0.018625312,0.002361877
violin_raw_points,single,20Ah LFP,linear,Single feature,Single,,fai_irrev_2C,fai_irrev_2C,single__fai_irrev_2C,0.015209891,0.002078407
violin_raw_points,single,20Ah LFP,linear,Single feature,Single,,fai_irrev_1.5C,fai_irrev_1.5C,single__fai_irrev_1.5C,0.010636718,0.001997603
violin_raw_points,single,20Ah LFP,linear,Single feature,Single,,fai_irrev_0.5C,fai_irrev_0.5C,single__fai_irrev_0.5C,0.014537479,0.001979662
violin_raw_points,single,20Ah LFP,linear,Single feature,Single,,fai_irrev_1C,fai_irrev_1C,single__fai_irrev_1C,0.022703648,0.003137779
violin_raw_points,single,20Ah LFP,linear,Single feature,Single,,fai_irrev_2C,fai_irrev_2C,single__fai_irrev_2C,0.01640698,0.002461752
violin_raw_points,single,20Ah LFP,linear,Single feature,Single,,fai_irrev_0.5C,fai_irrev_0.5C,single__fai_irrev_0.5C,0.014675606,0.001967867
violin_raw_points,single,20Ah LFP,linear,Single feature,Single,,fai_irrev_1.5C,fai_irrev_1.5C,single__fai_irrev_1.5C,0.021678799,0.002865957
violin_raw_points,single,20Ah LFP,linear,Single feature,Single,,fai_irrev_1.5C,fai_irrev_1.5C,single__fai_irrev_1.5C,0.016421098,0.002202985
