capacity,width_ms,soc_%,group,mean_crate,d_raw,d_norm,mae
LFP 20Ah,3000,70,2.0C|2.5C,2.25,3.8971143170299736,0.7686225286191799,0.00814381083272519
LFP 20Ah,3000,70,0.5C|1.0C|1.5C|2.0C|2.5C,1.5,2.598076211353316,0.5035802773711869,0.008076064944554009
LFP 20Ah,3000,75,0.5C|1.0C,0.75,1.299038105676658,0.23853802612319383,0.004203118718589638
LFP 20Ah,3000,75,1.0C|1.5C,1.25,2.1650635094610964,0.41523286028852247,0.004433818132626832
LFP 20Ah,3000,75,1.5C|2.0C,1.75,3.031088913245535,0.5919276944538513,0.0033924506632810325
LFP 20Ah,3000,75,2.0C|2.5C,2.25,3.8971143170299736,0.7686225286191799,0.003431592517688542
LFP 20Ah,3000,75,0.5C|1.0C|1.5C|2.0C|2.5C,1.5,2.598076211353316,0.5035802773711869,0.009280483980272647
LFP 20Ah,5000,5,0.5C|1.0C,0.75,1.6770509831248424,0.31566384991680047,0.018984060155677523
LFP 20Ah,5000,5,1.0C|1.5C,1.25,2.7950849718747373,0.5437758999445336,0.020888722779788586
LFP 20Ah,5000,5,1.5C|2.0C,1.75,3.913118960624632,0.7718879499722668,0.022963830142137178
LFP 20Ah,5000,5,2.0C|2.5C,2.25,5.031152949374527,1.0,0.026985434022816956
LFP 20Ah,5000,5,0.5C|1.0C|1.5C|2.0C|2.5C,1.5,3.3541019662496847,0.6578319249584003,0.01800383960605605
LFP 20Ah,5000,10,0.5C|1.0C,0.75,1.6770509831248424,0.31566384991680047,0.017492833548682366
LFP 20Ah,5000,10,1.0C|1.5C,1.25,2.7950849718747373,0.5437758999445336,0.018310409124802522
LFP 20Ah,5000,10,1.5C|2.0C,1.75,3.913118960624632,0.7718879499722668,0.015936908449317607
LFP 20Ah,5000,10,2.0C|2.5C,2.25,5.031152949374527,1.0,0.0159945949741819
LFP 20Ah,5000,10,0.5C|1.0C|1.5C|2.0C|2.5C,1.5,3.3541019662496847,0.6578319249584003,0.016109622657620892
LFP 20Ah,5000,15,0.5C|1.0C,0.75,1.6770509831248424,0.31566384991680047,0.015134763731308018
LFP 20Ah,5000,15,1.0C|1.5C,1.25,2.7950849718747373,0.5437758999445336,0.0187932769857614
LFP 20Ah,5000,15,1.5C|2.0C,1.75,3.913118960624632,0.7718879499722668,0.01773661648167993
LFP 20Ah,5000,15,2.0C|2.5C,2.25,5.031152949374527,1.0,0.01697072191017587
LFP 20Ah,5000,15,0.5C|1.0C|1.5C|2.0C|2.5C,1.5,3.3541019662496847,0.6578319249584003,0.015190266830769093
LFP 20Ah,5000,20,0.5C|1.0C,0.75,1.6770509831248424,0.31566384991680047,0.015853623422368273
LFP 20Ah,5000,20,1.0C|1.5C,1.25,2.7950849718747373,0.5437758999445336,0.019140439404938314
LFP 20Ah,5000,20,1.5C|2.0C,1.75,3.913118960624632,0.7718879499722668,0.016930392936420693
LFP 20Ah,5000,20,2.0C|2.5C,2.25,5.031152949374527,1.0,0.016807324710057088
LFP 20Ah,5000,20,0.5C|1.0C|1.5C|2.0C|2.5C,1.5,3.3541019662496847,0.6578319249584003,0.01613623047641634
LFP 20Ah,5000,25,0.5C|1.0C,0.75,1.6770509831248424,0.31566384991680047,0.015259886902226969
LFP 20Ah,5000,25,1.0C|1.5C,1.25,2.7950849718747373,0.5437758999445336,0.02256080965040827
LFP 20Ah,5000,25,1.5C|2.0C,1.75,3.913118960624632,0.7718879499722668,0.019433880287986132
LFP 20Ah,5000,25,2.0C|2.5C,2.25,5.031152949374527,1.0,0.019917430124983808
LFP 20Ah,5000,25,0.5C|1.0C|1.5C|2.0C|2.5C,1.5,3.3541019662496847,0.6578319249584003,0.014946991448160762
LFP 20Ah,5000,30,0.5C|1.0C,0.75,1.6770509831248424,0.31566384991680047,0.013841220669993331
LFP 20Ah,5000,30,1.0C|1.5C,1.25,2.7950849718747373,0.5437758999445336,0.017322097751030475
LFP 20Ah,5000,30,1.5C|2.0C,1.75,3.913118960624632,0.7718879499722668,0.014715978324907236
LFP 20Ah,5000,30,2.0C|2.5C,2.25,5.031152949374527,1.0,0.014584412774262473
LFP 20Ah,5000,30,0.5C|1.0C|1.5C|2.0C|2.5C,1.5,3.3541019662496847,0.6578319249584003,0.01442978092587192
LFP 20Ah,5000,35,0.5C|1.0C,0.75,1.6770509831248424,0.31566384991680047,0.013565809379939744
LFP 20Ah,5000,35,1.0C|1.5C,1.25,2.7950849718747373,0.5437758999445336,0.015892848278637874
LFP 20Ah,5000,35,1.5C|2.0C,1.75,3.913118960624632,0.7718879499722668,0.014134501577063223
LFP 20Ah,5000,35,2.0C|2.5C,2.25,5.031152949374527,1.0,0.013927047526165231
LFP 20Ah,5000,35,0.5C|1.0C|1.5C|2.0C|2.5C,1.5,3.3541019662496847,0.6578319249584003,0.01379389817810069
LFP 20Ah,5000,40,0.5C|1.0C,0.75,1.6770509831248424,0.31566384991680047,0.013308018221895685
LFP 20Ah,5000,40,1.0C|1.5C,1.25,2.7950849718747373,0.5437758999445336,0.016584240211825627
LFP 20Ah,5000,40,1.5C|2.0C,1.75,3.913118960624632,0.7718879499722668,0.015517048427892196
LFP 20Ah,5000,40,2.0C|2.5C,2.25,5.031152949374527,1.0,0.014739817429050148
LFP 20Ah,5000,40,0.5C|1.0C|1.5C|2.0C|2.5C,1.5,3.3541019662496847,0.6578319249584003,0.013797842677091336
LFP 20Ah,5000,45,0.5C|1.0C,0.75,1.6770509831248424,0.31566384991680047,0.01321285482981856
LFP 20Ah,5000,45,1.0C|1.5C,1.25,2.7950849718747373,0.5437758999445336,0.014000517996060256
LFP 20Ah,5000,45,1.5C|2.0C,1.75,3.913118960624632,0.7718879499722668,0.013044291832801924
LFP 20Ah,5000,45,2.0C|2.5C,2.25,5.031152949374527,1.0,0.013899641148038166
LFP 20Ah,5000,45,0.5C|1.0C|1.5C|2.0C|2.5C,1.5,3.3541019662496847,0.6578319249584003,0.01306846298122687
LFP 20Ah,5000,50,0.5C|1.0C,0.75,1.6770509831248424,0.31566384991680047,0.012781742225367673
LFP 20Ah,5000,50,1.0C|1.5C,1.25,2.7950849718747373,0.5437758999445336,0.013020891899710403
LFP 20Ah,5000,50,1.5C|2.0C,1.75,3.913118960624632,0.7718879499722668,0.012859433234091427
LFP 20Ah,5000,50,2.0C|2.5C,2.25,5.031152949374527,1.0,0.01560231914671359
LFP 20Ah,5000,50,0.5C|1.0C|1.5C|2.0C|2.5C,1.5,3.3541019662496847,0.6578319249584003,0.012513647887517102
LFP 20Ah,5000,55,0.5C|1.0C,0.75,1.6770509831248424,0.31566384991680047,0.015130094833285947
LFP 20Ah,5000,55,1.0C|1.5C,1.25,2.7950849718747373,0.5437758999445336,0.017665043019635562
LFP 20Ah,5000,55,1.5C|2.0C,1.75,3.913118960624632,0.7718879499722668,0.01792647726917783
LFP 20Ah,5000,55,2.0C|2.5C,2.25,5.031152949374527,1.0,0.017892701671600182
LFP 20Ah,5000,55,0.5C|1.0C|1.5C|2.0C|2.5C,1.5,3.3541019662496847,0.6578319249584003,0.012432803712870737
LFP 20Ah,5000,60,0.5C|1.0C,0.75,1.6770509831248424,0.31566384991680047,0.018981936325934638
LFP 20Ah,5000,60,1.0C|1.5C,1.25,2.7950849718747373,0.5437758999445336,0.02395359777287493
LFP 20Ah,5000,60,1.5C|2.0C,1.75,3.913118960624632,0.7718879499722668,0.02197077064133615
LFP 20Ah,5000,60,2.0C|2.5C,2.25,5.031152949374527,1.0,0.013674909719410148
LFP 20Ah,5000,60,0.5C|1.0C|1.5C|2.0C|2.5C,1.5,3.3541019662496847,0.6578319249584003,0.01081437389309653
LFP 20Ah,5000,65,0.5C|1.0C,0.75,1.6770509831248424,0.31566384991680047,0.009879895351113749
LFP 20Ah,5000,65,1.0C|1.5C,1.25,2.7950849718747373,0.5437758999445336,0.009612687986695265
LFP 20Ah,5000,65,1.5C|2.0C,1.75,3.913118960624632,0.7718879499722668,0.009739807755348273
LFP 20Ah,5000,65,2.0C|2.5C,2.25,5.031152949374527,1.0,0.012354430155643869
LFP 20Ah,5000,65,0.5C|1.0C|1.5C|2.0C|2.5C,1.5,3.3541019662496847,0.6578319249584003,0.009124653852810367
LFP 20Ah,5000,70,0.5C|1.0C,0.75,1.6770509831248424,0.31566384991680047,0.006002553131287035
LFP 20Ah,5000,70,1.0C|1.5C,1.25,2.7950849718747373,0.5437758999445336,0.007202354368245465
LFP 20Ah,5000,70,1.5C|2.0C,1.75,3.913118960624632,0.7718879499722668,0.007632767608599178
LFP 20Ah,5000,70,2.0C|2.5C,2.25,5.031152949374527,1.0,0.007416670345095859
LFP 20Ah,5000,70,0.5C|1.0C|1.5C|2.0C|2.5C,1.5,3.3541019662496847,0.6578319249584003,0.00622818953571827
LFP 20Ah,5000,75,0.5C|1.0C,0.75,1.6770509831248424,0.31566384991680047,0.0034606893376398773
LFP 20Ah,5000,75,1.0C|1.5C,1.25,2.7950849718747373,0.5437758999445336,0.0024100818491417653
LFP 20Ah,5000,75,1.5C|2.0C,1.75,3.913118960624632,0.7718879499722668,0.003450237950105489
LFP 20Ah,5000,75,2.0C|2.5C,2.25,5.031152949374527,1.0,0.0040225205501371875
LFP 20Ah,5000,75,0.5C|1.0C|1.5C|2.0C|2.5C,1.5,3.3541019662496847,0.6578319249584003,0.004969217241116819
LFP 35Ah,30,5,0.5C|1.0C,0.75,0.1299038105676658,0.0,0.039518942463486
LFP 35Ah,30,5,1.0C|1.5C,1.25,0.21650635094610965,0.01766948341653287,0.04013894299164629
LFP 35Ah,30,5,1.5C|2.0C,1.75,0.30310889132455354,0.03533896683306575,0.03798403459383601
LFP 35Ah,30,5,2.0C|2.5C,2.25,0.3897114317029974,0.05300845024959862,0.03648205160704321
LFP 35Ah,30,5,0.5C|1.0C|1.5C|2.0C|2.5C,1.5,0.2598076211353316,0.026504225124799316,0.03754442223066351
LFP 35Ah,30,10,0.5C|1.0C,0.75,0.1299038105676658,0.0,0.03609561884199449
LFP 35Ah,30,10,1.0C|1.5C,1.25,0.21650635094610965,0.01766948341653287,0.03446355280785143
LFP 35Ah,30,10,1.5C|2.0C,1.75,0.30310889132455354,0.03533896683306575,0.03690947262401692
LFP 35Ah,30,10,2.0C|2.5C,2.25,0.3897114317029974,0.05300845024959862,0.03902700047918736
LFP 35Ah,30,10,0.5C|1.0C|1.5C|2.0C|2.5C,1.5,0.2598076211353316,0.026504225124799316,0.037618589727637805
LFP 35Ah,30,15,0.5C|1.0C,0.75,0.1299038105676658,0.0,0.04001744894936985
LFP 35Ah,30,15,1.0C|1.5C,1.25,0.21650635094610965,0.01766948341653287,0.03944044852705869
LFP 35Ah,30,15,1.5C|2.0C,1.75,0.30310889132455354,0.03533896683306575,0.03965027575752175
LFP 35Ah,30,15,2.0C|2.5C,2.25,0.3897114317029974,0.05300845024959862,0.03982325565101581
LFP 35Ah,30,15,0.5C|1.0C|1.5C|2.0C|2.5C,1.5,0.2598076211353316,0.026504225124799316,0.04144700905476248
LFP 35Ah,30,20,0.5C|1.0C,0.75,0.1299038105676658,0.0,0.03988850260860649
LFP 35Ah,30,20,1.0C|1.5C,1.25,0.21650635094610965,0.01766948341653287,0.0429394488368214
LFP 35Ah,30,20,1.5C|2.0C,1.75,0.30310889132455354,0.03533896683306575,0.041020136617462725
LFP 35Ah,30,20,2.0C|2.5C,2.25,0.3897114317029974,0.05300845024959862,0.04149811062622007
LFP 35Ah,30,20,0.5C|1.0C|1.5C|2.0C|2.5C,1.5,0.2598076211353316,0.026504225124799316,0.04314691893131546
LFP 35Ah,30,25,0.5C|1.0C,0.75,0.1299038105676658,0.0,0.04098270026555652
LFP 35Ah,30,25,1.0C|1.5C,1.25,0.21650635094610965,0.01766948341653287,0.04145383318789915
LFP 35Ah,30,25,1.5C|2.0C,1.75,0.30310889132455354,0.03533896683306575,0.041390112115602146
LFP 35Ah,30,25,2.0C|2.5C,2.25,0.3897114317029974,0.05300845024959862,0.04095385532909704
LFP 35Ah,30,25,0.5C|1.0C|1.5C|2.0C|2.5C,1.5,0.2598076211353316,0.026504225124799316,0.04278929946131983
LFP 35Ah,30,30,0.5C|1.0C,0.75,0.1299038105676658,0.0,0.03990353899432617
LFP 35Ah,30,30,1.0C|1.5C,1.25,0.21650635094610965,0.01766948341653287,0.04166149130704405
LFP 35Ah,30,30,1.5C|2.0C,1.75,0.30310889132455354,0.03533896683306575,0.0415768714468085
LFP 35Ah,30,30,2.0C|2.5C,2.25,0.3897114317029974,0.05300845024959862,0.041664988247320275
LFP 35Ah,30,30,0.5C|1.0C|1.5C|2.0C|2.5C,1.5,0.2598076211353316,0.026504225124799316,0.03972793462687303
LFP 35Ah,30,35,0.5C|1.0C,0.75,0.1299038105676658,0.0,0.0415025198913526
LFP 35Ah,30,35,1.0C|1.5C,1.25,0.21650635094610965,0.01766948341653287,0.03685971660962582
LFP 35Ah,30,35,1.5C|2.0C,1.75,0.30310889132455354,0.03533896683306575,0.03617419211585178
LFP 35Ah,30,35,2.0C|2.5C,2.25,0.3897114317029974,0.05300845024959862,0.041406316996161076
LFP 35Ah,30,35,0.5C|1.0C|1.5C|2.0C|2.5C,1.5,0.2598076211353316,0.026504225124799316,0.037817254771230005
LFP 35Ah,30,40,0.5C|1.0C,0.75,0.1299038105676658,0.0,0.034283415201500925
LFP 35Ah,30,40,1.0C|1.5C,1.25,0.21650635094610965,0.01766948341653287,0.034419156210186055
LFP 35Ah,30,40,1.5C|2.0C,1.75,0.30310889132455354,0.03533896683306575,0.03382003841902101
LFP 35Ah,30,40,2.0C|2.5C,2.25,0.3897114317029974,0.05300845024959862,0.03320526795788475
LFP 35Ah,30,40,0.5C|1.0C|1.5C|2.0C|2.5C,1.5,0.2598076211353316,0.026504225124799316,0.03586981346052624
LFP 35Ah,30,45,0.5C|1.0C,0.75,0.1299038105676658,0.0,0.0367421725698171
LFP 35Ah,30,45,1.0C|1.5C,1.25,0.21650635094610965,0.01766948341653287,0.034934400699177304
LFP 35Ah,30,45,1.5C|2.0C,1.75,0.30310889132455354,0.03533896683306575,0.03505212513260701
LFP 35Ah,30,45,2.0C|2.5C,2.25,0.3897114317029974,0.05300845024959862,0.035202057032900066
LFP 35Ah,30,45,0.5C|1.0C|1.5C|2.0C|2.5C,1.5,0.2598076211353316,0.026504225124799316,0.036100855104952964
LFP 35Ah,30,50,0.5C|1.0C,0.75,0.1299038105676658,0.0,0.03719719319974241
