capacity,soc_%,crate,seed,importance
20Ah,25,0.5,78,0.05359324005321761
20Ah,25,0.5,79,0.05995480590902807
20Ah,25,0.5,80,0.05644786127667181
20Ah,25,0.5,81,0.057088781450582625
20Ah,25,0.5,82,0.04904139004920991
20Ah,25,0.5,83,0.042801300133153176
20Ah,25,0.5,84,0.054970541045275725
20Ah,25,0.5,85,0.05469117244219707
20Ah,25,0.5,86,0.053021031821783485
20Ah,25,0.5,87,0.05990275850654177
20Ah,25,0.5,88,0.04499775009153693
20Ah,25,0.5,89,0.05090860758823247
20Ah,25,0.5,90,0.05809461256427621
20Ah,25,0.5,91,0.05824832234645351
20Ah,25,0.5,92,0.0550989959875791
20Ah,25,0.5,93,0.05289207394690034
20Ah,25,0.5,94,0.06174314586166387
20Ah,25,0.5,95,0.05679451087045396
20Ah,25,0.5,96,0.061272995707464
20Ah,25,0.5,97,0.0614095309434683
20Ah,25,0.5,98,0.058487535875438645
20Ah,25,0.5,99,0.048152239840883175
68Ah,25,0.5,0,0.01828618726053957
68Ah,25,0.5,1,0.021300350849205646
68Ah,25,0.5,2,0.02441636337286451
68Ah,25,0.5,3,0.025825125220696427
68Ah,25,0.5,4,0.02572178506692268
68Ah,25,0.5,5,0.023048613263454573
68Ah,25,0.5,6,0.027173278726089035
68Ah,25,0.5,7,0.028605083301821117
68Ah,25,0.5,8,0.018403551739318326
68Ah,25,0.5,9,0.017222464052201146
68Ah,25,0.5,10,0.018737326602621347
68Ah,25,0.5,11,0.0232829718452248
68Ah,25,0.5,12,0.016611478635750115
68Ah,25,0.5,13,0.026342330582863158
68Ah,25,0.5,14,0.01884454845956594
68Ah,25,0.5,15,0.019373418250204243
68Ah,25,0.5,16,0.03011943449265392
68Ah,25,0.5,17,0.026875228676814515
68Ah,25,0.5,18,0.020249369774043034
68Ah,25,0.5,19,0.020905835605150257
68Ah,25,0.5,20,0.024432201266907972
68Ah,25,0.5,21,0.026641240548910986
68Ah,25,0.5,22,0.01910384833687208
68Ah,25,0.5,23,0.027473601419079435
68Ah,25,0.5,24,0.0273130149857584
68Ah,25,0.5,25,0.02523739394764156
68Ah,25,0.5,26,0.028340848567797117
68Ah,25,0.5,27,0.02114837496306076
68Ah,25,0.5,28,0.021710129080717334
68Ah,25,0.5,29,0.022868838579914088
68Ah,25,0.5,30,0.02179485784884118
68Ah,25,0.5,31,0.025362027424415023
68Ah,25,0.5,32,0.028384409598731297
68Ah,25,0.5,33,0.014307069062859614
68Ah,25,0.5,34,0.022976390978003483
68Ah,25,0.5,35,0.030070918425283606
68Ah,25,0.5,36,0.019979922561915425
68Ah,25,0.5,37,0.01851969405641289
68Ah,25,0.5,38,0.022312819603852323
68Ah,25,0.5,39,0.025081999225468173
68Ah,25,0.5,40,0.026563586485297067
68Ah,25,0.5,41,0.022877662688966436
68Ah,25,0.5,42,0.024503351134313324
68Ah,25,0.5,43,0.029148849255287823
68Ah,25,0.5,44,0.020444962871388517
68Ah,25,0.5,45,0.021147395512553593
68Ah,25,0.5,46,0.02484179409498908
68Ah,25,0.5,47,0.024250948040683454
68Ah,25,0.5,48,0.029131973954605206
68Ah,25,0.5,49,0.02350933705739336
68Ah,25,0.5,50,0.029849179643202217
68Ah,25,0.5,51,0.02369592060860898
68Ah,25,0.5,52,0.021340959875937468
68Ah,25,0.5,53,0.03261919963328787
68Ah,25,0.5,54,0.025886796260631405
68Ah,25,0.5,55,0.02731221767742336
68Ah,25,0.5,56,0.01812014341881699
68Ah,25,0.5,57,0.02783982705883261
68Ah,25,0.5,58,0.020723633243529445
68Ah,25,0.5,59,0.023304842735494994
68Ah,25,0.5,60,0.0220237995104588
68Ah,25,0.5,61,0.022778666719817195
68Ah,25,0.5,62,0.025435352270394406
68Ah,25,0.5,63,0.021766789118653356
68Ah,25,0.5,64,0.02277704935970816
68Ah,25,0.5,65,0.023012285564723553
68Ah,25,0.5,66,0.026897864379528163
68Ah,25,0.5,67,0.02019169262875895
68Ah,25,0.5,68,0.024218839646844674
68Ah,25,0.5,69,0.023920094523091004
