capacity,soc_%,crate,seed,importance
68Ah,75,2.5,22,0.020016047284767163
68Ah,75,2.5,23,0.013544993224585878
68Ah,75,2.5,24,0.027596154717217505
68Ah,75,2.5,25,0.024496158879892885
68Ah,75,2.5,26,0.02179177599914553
68Ah,75,2.5,27,0.024990376367337586
68Ah,75,2.5,28,0.02704069801436751
68Ah,75,2.5,29,0.023985227547430193
68Ah,75,2.5,30,0.024386850507433763
68Ah,75,2.5,31,0.03498827022072535
68Ah,75,2.5,32,0.02230379164311862
68Ah,75,2.5,33,0.02340038073442059
68Ah,75,2.5,34,0.02258646732023429
68Ah,75,2.5,35,0.02638881855076289
68Ah,75,2.5,36,0.022889271362398888
68Ah,75,2.5,37,0.029903889900679267
68Ah,75,2.5,38,0.027041295326481782
68Ah,75,2.5,39,0.026089716940855042
68Ah,75,2.5,40,0.02255136387301321
68Ah,75,2.5,41,0.02602419529208806
68Ah,75,2.5,42,0.02545160107475724
68Ah,75,2.5,43,0.03084954199092474
68Ah,75,2.5,44,0.024469106381890118
68Ah,75,2.5,45,0.02375346107385475
68Ah,75,2.5,46,0.029234615033652028
68Ah,75,2.5,47,0.020518922527635385
68Ah,75,2.5,48,0.023189660979914588
68Ah,75,2.5,49,0.026560416072976108
68Ah,75,2.5,50,0.024770153323001847
68Ah,75,2.5,51,0.027208723342019563
68Ah,75,2.5,52,0.025773909137412534
68Ah,75,2.5,53,0.02177257884513727
68Ah,75,2.5,54,0.023171628750548758
68Ah,75,2.5,55,0.026291617330484615
68Ah,75,2.5,56,0.02028596276470565
68Ah,75,2.5,57,0.022313588540174466
68Ah,75,2.5,58,0.023918599907307887
68Ah,75,2.5,59,0.024484285444963113
68Ah,75,2.5,60,0.018920261583409946
68Ah,75,2.5,61,0.03323198662114445
68Ah,75,2.5,62,0.02423472945288684
68Ah,75,2.5,63,0.02524158443484252
68Ah,75,2.5,64,0.026635197981644872
68Ah,75,2.5,65,0.028760995539892607
68Ah,75,2.5,66,0.025945661021863995
68Ah,75,2.5,67,0.027843838708845842
68Ah,75,2.5,68,0.02801701428757755
68Ah,75,2.5,69,0.03140568592947388
68Ah,75,2.5,70,0.019202092533413553
68Ah,75,2.5,71,0.026992386497701294
68Ah,75,2.5,72,0.03633268481526631
68Ah,75,2.5,73,0.022743792796643937
68Ah,75,2.5,74,0.024224998583375738
68Ah,75,2.5,75,0.026998482605507593
68Ah,75,2.5,76,0.028508089486818877
68Ah,75,2.5,77,0.02919856321840804
68Ah,75,2.5,78,0.020273941297118653
68Ah,75,2.5,79,0.025131581009626418
68Ah,75,2.5,80,0.021548953098195513
68Ah,75,2.5,81,0.02330400005661056
68Ah,75,2.5,82,0.021015415803604425
68Ah,75,2.5,83,0.025535928049080073
68Ah,75,2.5,84,0.023554375790044477
68Ah,75,2.5,85,0.029336563621034237
68Ah,75,2.5,86,0.026498797020875087
68Ah,75,2.5,87,0.014847334036383622
68Ah,75,2.5,88,0.024692301070258535
68Ah,75,2.5,89,0.024201961909975995
68Ah,75,2.5,90,0.019906052561914814
68Ah,75,2.5,91,0.030704628508472626
68Ah,75,2.5,92,0.024892642219585995
68Ah,75,2.5,93,0.028707837443389308
68Ah,75,2.5,94,0.025765508125124733
68Ah,75,2.5,95,0.021801993974262423
68Ah,75,2.5,96,0.02244560706228545
68Ah,75,2.5,97,0.028381323750908443
68Ah,75,2.5,98,0.030615233370656227
68Ah,75,2.5,99,0.0280533845309661
