capacity,soc_%,crate,seed,importance,signed_importance
20Ah,25,1.0,65,0.010735786794122801,0.010735786794122801
20Ah,25,2.5,65,0.005108824833073839,0.005108824833073839
20Ah,25,0.5,66,0.05688803182946833,-0.05688803182946833
20Ah,25,1.5,66,0.024828345417773956,0.024828345417773956
20Ah,25,2.5,66,0.006632100265273948,0.006632100265273948
20Ah,25,2.0,66,0.005629621213847929,-0.005629621213847929
20Ah,25,1.0,66,0.0033183463372622197,0.0033183463372622197
20Ah,25,0.5,67,0.060424329232649336,-0.060424329232649336
20Ah,25,1.5,67,0.01982921078528324,0.01982921078528324
20Ah,25,1.0,67,0.01202858701442388,0.01202858701442388
20Ah,25,2.5,67,0.008597366305235445,0.008597366305235445
20Ah,25,2.0,67,0.006244733286513105,-0.006244733286513105
20Ah,25,0.5,68,0.06332881264165656,-0.06332881264165656
20Ah,25,1.0,68,0.014523525022404768,0.014523525022404768
20Ah,25,1.5,68,0.011704547105507694,0.011704547105507694
20Ah,25,2.5,68,0.006154634022054198,0.006154634022054198
20Ah,25,2.0,68,0.0026838664093511303,0.0026838664093511303
20Ah,25,0.5,69,0.050855036835035825,-0.050855036835035825
20Ah,25,1.5,69,0.019998306010988242,0.019998306010988242
20Ah,25,2.0,69,0.009117034248624999,-0.009117034248624999
20Ah,25,1.0,69,0.009003188174702326,0.009003188174702326
20Ah,25,2.5,69,0.0059326541470725285,0.0059326541470725285
20Ah,25,0.5,70,0.0616065992873955,-0.0616065992873955
20Ah,25,1.0,70,0.01697185538482396,0.01697185538482396
20Ah,25,1.5,70,0.007481956954551706,0.007481956954551706
20Ah,25,2.5,70,0.005633932866629313,0.005633932866629313
20Ah,25,2.0,70,0.005121787406705538,0.005121787406705538
20Ah,25,0.5,71,0.0625789510518423,-0.0625789510518423
20Ah,25,1.5,71,0.027540984512228615,0.027540984512228615
20Ah,25,2.5,71,0.006041708578597627,0.006041708578597627
20Ah,25,2.0,71,0.0006796989555934498,0.0006796989555934498
20Ah,25,1.0,71,8.585585740761292e-05,-8.585585740761292e-05
20Ah,25,0.5,72,0.05901539877668599,-0.05901539877668599
20Ah,25,1.0,72,0.01307442714244565,0.01307442714244565
20Ah,25,1.5,72,0.013003088568857157,0.013003088568857157
20Ah,25,2.5,72,0.005960991082122474,0.005960991082122474
20Ah,25,2.0,72,0.0008226299082751286,-0.0008226299082751286
20Ah,25,0.5,73,0.06707498038620313,-0.06707498038620313
20Ah,25,1.5,73,0.015190074857016685,0.015190074857016685
20Ah,25,1.0,73,0.013968419178761831,0.013968419178761831
20Ah,25,2.5,73,0.005582975318685465,0.005582975318685465
20Ah,25,2.0,73,0.0030209982125236363,0.0030209982125236363
20Ah,25,0.5,74,0.05351757388319205,-0.05351757388319205
20Ah,25,1.5,74,0.012703086673189786,0.012703086673189786
20Ah,25,1.0,74,0.009711913126034756,0.009711913126034756
20Ah,25,2.5,74,0.005338162220105359,0.005338162220105359
20Ah,25,2.0,74,0.0014103818889709355,-0.0014103818889709355
20Ah,25,0.5,75,0.04800342777050242,-0.04800342777050242
20Ah,25,1.0,75,0.0160325941602174,0.0160325941602174
20Ah,25,2.0,75,0.00798565740262544,-0.00798565740262544
20Ah,25,1.5,75,0.006926062552193847,0.006926062552193847
20Ah,25,2.5,75,0.005996076900648719,0.005996076900648719
20Ah,25,0.5,76,0.055483044486913026,-0.055483044486913026
20Ah,25,1.0,76,0.022450507956214075,0.022450507956214075
20Ah,25,2.5,76,0.007453786329771481,0.007453786329771481
20Ah,25,2.0,76,0.000693036381124332,-0.000693036381124332
20Ah,25,1.5,76,0.0003917567244613014,-0.0003917567244613014
20Ah,25,0.5,77,0.05557107015724366,-0.05557107015724366
20Ah,25,1.5,77,0.020300352982351978,0.020300352982351978
20Ah,25,2.5,77,0.005279383191784945,0.005279383191784945
20Ah,25,1.0,77,0.004341588526082123,0.004341588526082123
20Ah,25,2.0,77,0.00013084488597685993,0.00013084488597685993
20Ah,25,0.5,78,0.05359324005321761,-0.05359324005321761
20Ah,25,1.5,78,0.02007037348586494,0.02007037348586494
20Ah,25,1.0,78,0.008242999836281514,0.008242999836281514
20Ah,25,2.0,78,0.00799594860145983,-0.00799594860145983
20Ah,25,2.5,78,0.00487189353356242,0.00487189353356242
20Ah,25,0.5,79,0.05995480590902807,-0.05995480590902807
20Ah,25,1.5,79,0.020678419872031197,0.020678419872031197
20Ah,25,1.0,79,0.006242923358481294,0.006242923358481294
20Ah,25,2.5,79,0.006198739399133577,0.006198739399133577
20Ah,25,2.0,79,3.7394126467334853e-06,3.7394126467334853e-06
20Ah,25,0.5,80,0.05644786127667181,-0.05644786127667181
20Ah,25,1.0,80,0.019077735415967786,0.019077735415967786
20Ah,25,2.0,80,0.004387615155445663,0.004387615155445663
20Ah,25,2.5,80,0.0037441546853729094,0.0037441546853729094
20Ah,25,1.5,80,0.0016163120799728085,0.0016163120799728085
20Ah,25,0.5,81,0.057088781450582625,-0.057088781450582625
20Ah,25,1.0,81,0.01490967715213022,0.01490967715213022
20Ah,25,1.5,81,0.010035079526873223,0.010035079526873223
20Ah,25,2.5,81,0.006610720819473485,0.006610720819473485
20Ah,25,2.0,81,0.0016469861006594307,-0.0016469861006594307
20Ah,25,0.5,82,0.04904139004920991,-0.04904139004920991
20Ah,25,2.0,82,0.024901748662419367,-0.024901748662419367
20Ah,25,1.0,82,0.022473154484816953,0.022473154484816953
20Ah,25,1.5,82,0.016766560245716197,0.016766560245716197
20Ah,25,2.5,82,0.006079349763692197,0.006079349763692197
20Ah,25,0.5,83,0.042801300133153176,-0.042801300133153176
20Ah,25,2.0,83,0.024674483522114873,-0.024674483522114873
20Ah,25,1.0,83,0.019374167916978942,0.019374167916978942
20Ah,25,1.5,83,0.013981016424390452,0.013981016424390452
20Ah,25,2.5,83,0.006327291449258589,0.006327291449258589
20Ah,25,0.5,84,0.054970541045275725,-0.054970541045275725
20Ah,25,1.0,84,0.019699314720058182,0.019699314720058182
20Ah,25,2.5,84,0.005129924229532595,0.005129924229532595
20Ah,25,2.0,84,0.00500832724761683,0.00500832724761683
20Ah,25,1.5,84,0.0014096758304102907,-0.0014096758304102907
20Ah,25,0.5,85,0.05469117244219707,-0.05469117244219707
